In/H1,H1/H2,H2/Out,Graph
-0.18469806,-0.9538751,,
-0.6636511,-0.71661335,,
-0.32377765,0.7154287,,
0.36571857,-0.55985284,,
-0.6062184,-0.8179575,,
-0.41293395,0.88367724,,
-0.897043,-0.1223253,,
0.34460276,0.2645984,,
-0.82174563,0.15082742,,
0.061001062,0.2888371,,
-0.85848325,0.56285214,,
-0.19281776,-0.15511875,,
0.00880754,-0.48405623,,
0.72280663,0.40921545,,
0.04123187,0.3825406,,
-0.42886296,0.063904904,,
0.86951584,-0.7261981,,
-0.52400005,0.11729026,,
-0.43445158,-0.09841062,,
0.07442266,-0.26474392,,
0.7865256,0.22704434,,
0.39696163,-0.7792573,,
-0.34114385,0.44132444,,
-0.9295776,0.47707474,,
-0.3385222,-0.5020685,,
-0.6205095,0.14371979,,
-0.9268992,0.95770144,,
-0.25213113,-1.0,,
0.71086794,-0.26234928,,
0.55491686,0.017738916,,
0.34592688,0.6972023,,
0.16928911,0.53013253,,
-0.7355251,-0.91721517,,
-1.0,0.47807282,,
0.8138865,-0.67763764,,
0.2746955,-0.71973455,,
0.3462107,0.7435587,,
0.7628491,-0.9660591,,
-0.32631028,-0.660609,,
1.0,0.05172193,,
-0.22626601,-0.10514766,,
-0.6603264,0.49415177,,
0.5863916,-0.33362168,,
0.14253831,-0.19824056,,
-0.56664085,-0.89649373,,
0.19166318,-1.0,,
-0.8736827,0.33452034,,
1.0,0.0849542,,
-0.0937049,-0.37292638,,
-0.85070014,-0.5173776,,
-0.31737328,-0.6992141,,
-0.88858676,-0.13727526,,
0.348826,0.7079975,,
0.006156098,0.9460693,,
-0.6896552,0.27376074,,
-0.6932978,0.48568958,,
0.1796125,0.4734633,,
-0.73697174,-0.53168106,,
-0.40562463,-0.0061488897,,
-0.57206094,0.6176479,,
0.06717177,-0.6771201,,
-0.14068347,0.8191487,,
-0.16522026,0.12635863,,
0.73283273,-0.46484053,,
-0.79515827,0.19480214,,
0.57350814,0.2719376,,
0.52093285,0.46149802,,
-0.47642156,-0.7857145,,
-0.97072244,-0.7417012,,
-0.11946988,0.6322068,,
0.27689475,0.44777703,,
-0.8783984,0.17001817,,
-1.0,-0.34986606,,
-0.046869278,0.014120102,,
0.550992,-0.07479748,,
-0.77888864,-0.47445208,,
0.6352532,-0.1032763,,
-0.68580055,-0.5732937,,
-0.7286852,0.3425522,,
-0.33549228,-1.0,,
-0.52306265,1.0,,
-0.8023479,-0.54857683,,
-0.315252,-1.0,,
-0.37158585,-0.72076,,
-0.5589168,-0.21356666,,
-0.36658376,0.9105935,,
0.5232867,0.64921,,
-1.0,0.035603642,,
-0.6203767,-0.9211163,,
-0.77612233,1.0,,
0.5308481,0.16835381,,
0.9868107,0.033671647,,
0.26652208,-0.28969622,,
-0.2623904,0.47128272,,
-0.5143749,-0.81803995,,
0.6196717,0.050640434,,
0.1281863,-0.8562655,,
-0.6933514,-0.8233798,,
0.48780042,-1.0,,
1.0,0.82449627,,
0.9302726,-0.5008733,,
-0.046164572,-0.82773113,,
-0.670522,0.28191066,,
-0.071804285,-0.09462798,,
0.66177523,-0.57722443,,
0.47544506,-0.76393265,,
0.6610851,0.46091503,,
-0.34234315,0.5293043,,
-0.52252597,0.7727455,,
0.72193,1.0,,
0.19780767,0.3922867,,
0.09325975,0.06485295,,
0.13470566,-0.13156152,,
0.026427463,0.9160789,,
-0.11125374,-0.44280767,,
-0.8802402,0.24334888,,
0.19134103,0.8755225,,
0.5963546,0.5833583,,
0.17097634,-0.5264819,,
-1.0,-0.07841946,,
-0.5468527,0.31448418,,
-0.21187395,0.078426,,
0.89248633,0.7298354,,
-0.60703236,-0.027732015,,
-0.7194737,-0.96443874,,
-0.83855355,0.6208191,,
0.58952427,0.5737349,,
0.3956623,0.30461615,,
-0.93453807,-0.6180695,,
0.0691497,-0.7985288,,
0.4869568,0.24655932,,
0.92413104,-0.77789235,,
0.69371164,0.64561164,,
0.44913605,0.090164445,,
0.50158966,0.82844085,,
-0.25166804,-1.0,,
-0.40350068,0.2813187,,
-0.42507893,0.5836935,,
0.12378231,0.23229304,,
0.9458829,-0.660998,,
-0.2793819,0.41272897,,
-0.31728345,-0.5200981,,
-0.12989722,-0.5856433,,
-0.8413154,0.10234609,,
-0.005048752,-0.6468518,,
-0.3759147,0.24392958,,
-0.077188134,,,
0.29588276,,,
-0.44554844,,,
0.22493327,,,
-0.75673795,,,
0.7883346,,,
-0.20023763,,,
0.47105947,,,
0.3036201,,,
-0.8998451,,,
-0.12976438,,,
0.34851435,,,
0.99476445,,,
0.5445206,,,
-0.8378667,,,
-0.22515133,,,
0.6061789,,,
0.4580971,,,
-1.0,,,
-0.63094354,,,
-0.462381,,,
-1.0,,,
-0.75081396,,,
-1.0,,,
-0.9939496,,,
0.3241526,,,
0.29862314,,,
-0.2717369,,,
0.89596057,,,
-0.28410405,,,
-0.2272937,,,
0.6097585,,,
-0.3071127,,,
-0.67383546,,,
0.7544327,,,
-0.058490038,,,
-0.09049055,,,
0.35864425,,,
-0.6814331,,,
-0.19071183,,,
0.9361099,,,
-0.3294277,,,
-0.34361368,,,
0.98105466,,,
0.14970028,,,
-1.0,,,
-0.7126447,,,
0.35655305,,,
-0.42967105,,,
1.0,,,
0.4766488,,,
0.02756618,,,
-1.0,,,
-0.86803025,,,
-0.21752214,,,
1.0,,,
-0.035647824,,,
-0.017162599,,,
0.5666225,,,
0.74170804,,,
-0.9997895,,,
0.6136715,,,
0.6422268,,,
-0.124319494,,,
0.4537376,,,
-1.0,,,
0.024165183,,,
0.5007169,,,
0.5085847,,,
0.867002,,,
-0.56753135,,,
0.05182503,,,
-0.91181386,,,
0.6212875,,,
-0.56797934,,,
-0.60292125,,,
0.11517206,,,
0.4227863,,,
0.32644773,,,
0.71045685,,,
-0.80702066,,,
0.07932961,,,
0.12683825,,,
-0.77569187,,,
-0.43840265,,,
0.8404372,,,
-1.0,,,
0.87321854,,,
-0.1174654,,,
-0.3644066,,,
0.41505682,,,
-0.35086226,,,
-0.22558177,,,
0.32001954,,,
0.42280826,,,
0.24649644,,,
0.46843338,,,
0.12199521,,,
-0.09652422,,,
-0.5215334,,,
-0.3412547,,,
0.740085,,,
0.43979236,,,
-0.7026552,,,
0.9321456,,,
0.24510911,,,
-0.39499483,,,
-0.1962013,,,
